name,medal_type,medal_date,gender,birth_date,country,discipline,event
FINK Nic,PRATA,2024-07-28,MASCULINO,1993-07-03,United States,Swimming,Men's 100m Breaststroke
MARCHAND Leon,OURO,2024-07-28,MASCULINO,2002-05-17,France,Swimming,Men's 400m Individual Medley
MATSUSHITA Tomoyuki,PRATA,2024-07-28,MASCULINO,2005-08-01,Japan,Swimming,Men's 400m Individual Medley
FOSTER Carson,BRONZE,2024-07-28,MASCULINO,2001-10-26,United States,Swimming,Men's 400m Individual Medley
HUSKE Torri,OURO,2024-07-28,FEMININO,2002-12-07,United States,Swimming,Women's 100m Butterfly
WALSH Gretchen,PRATA,2024-07-28,FEMININO,2003-01-29,United States,Swimming,Women's 100m Butterfly
ZHANG Yufei,BRONZE,2024-07-28,FEMININO,1998-04-19,China,Swimming,Women's 100m Butterfly
GESTIN Nicolas,OURO,2024-07-29,MASCULINO,2000-03-14,France,Canoe Slalom,Men's Canoe Single
BURGESS Adam,PRATA,2024-07-29,MASCULINO,1992-07-17,Great Britain,Canoe Slalom,Men's Canoe Single
BENUS Matej,BRONZE,2024-07-29,MASCULINO,1987-11-02,Slovakia,Canoe Slalom,Men's Canoe Single
PIDCOCK Thomas,OURO,2024-07-29,MASCULINO,1999-07-30,Great Britain,Cycling Mountain Bike,Men's Cross-country
KORETZKY Victor,PRATA,2024-07-29,MASCULINO,1994-08-26,France,Cycling Mountain Bike,Men's Cross-country
HATHERLY Alan,BRONZE,2024-07-29,MASCULINO,1996-03-15,South Africa,Cycling Mountain Bike,Men's Cross-country
JUNG Michael,OURO,2024-07-29,MASCULINO,1982-07-31,Germany,Equestrian,Eventing Individual
BURTON Christopher,PRATA,2024-07-29,MASCULINO,1981-11-22,Australia,Equestrian,Eventing Individual
COLLETT Laura,BRONZE,2024-07-29,FEMININO,1989-08-31,Great Britain,Equestrian,Eventing Individual
CHEUNG Ka Long,OURO,2024-07-29,MASCULINO,1997-06-10,Hong Kong,Fencing,Men's Foil Individual
MACCHI Filippo,PRATA,2024-07-29,MASCULINO,2001-09-19,Italy,Fencing,Men's Foil Individual
ITKIN Nick,BRONZE,2024-07-29,MASCULINO,1999-10-09,United States,Fencing,Men's Foil Individual
APITHY-BRUNET Manon,OURO,2024-07-29,FEMININO,1996-02-07,France,Fencing,Women's Sabre Individual
BALZER Sara,PRATA,2024-07-29,FEMININO,1995-04-03,France,Fencing,Women's Sabre Individual
KHARLAN Olga,BRONZE,2024-07-29,FEMININO,1990-09-04,Ukraine,Fencing,Women's Sabre Individual
HEYDAROV Hidayat,OURO,2024-07-29,MASCULINO,1997-07-27,Azerbaijan,Judo,Men -73 kg
GABA Joan-Benjamin,PRATA,2024-07-29,MASCULINO,2001-01-07,France,Judo,Men -73 kg
OSMANOV Adil,BRONZE,2024-07-29,MASCULINO,2000-07-02,Republic of Moldova,Judo,Men -73 kg
HASHIMOTO Soichi,BRONZE,2024-07-29,MASCULINO,1991-08-24,Japan,Judo,Men -73 kg
DEGUCHI Christa,OURO,2024-07-29,FEMININO,1995-10-29,Canada,Judo,Women -57 kg
