name,medal_type,medal_date,gender,birth_date,country,discipline,event
MOHMADIPIANI Alireza,PRATA,2024-08-08,MASCULINO,2002-10-30,IR Iran,Wrestling,Men's Greco-Roman 87kg
BELENIUK Zhan,BRONZE,2024-08-08,MASCULINO,1991-01-24,Ukraine,Wrestling,Men's Greco-Roman 87kg
BISULTANOV Turpal Ali,BRONZE,2024-08-08,MASCULINO,2001-10-14,Denmark,Wrestling,Men's Greco-Roman 87kg
FUJINAMI Akari,OURO,2024-08-08,FEMININO,2003-11-11,Japan,Wrestling,Women's Freestyle 53kg
YEPEZ GUZMAN Lucia Yamileth,PRATA,2024-08-08,FEMININO,2001-02-18,Ecuador,Wrestling,Women's Freestyle 53kg
CHOE Hyo Gyong,BRONZE,2024-08-08,FEMININO,2000-05-10,DPR Korea,Wrestling,Women's Freestyle 53kg
PANG Qianyu,BRONZE,2024-08-08,FEMININO,1996-11-13,China,Wrestling,Women's Freestyle 53kg
BENJAMIN Rai,OURO,2024-08-09,MASCULINO,1997-07-27,United States,Athletics,Men's 400m Hurdles
WARHOLM Karsten,PRATA,2024-08-09,MASCULINO,1996-02-28,Norway,Athletics,Men's 400m Hurdles
dos SANTOS Alison,BRONZE,2024-08-09,MASCULINO,2000-06-03,Brazil,Athletics,Men's 400m Hurdles
DIAZ FORTUN Jordan Alejandro,OURO,2024-08-09,MASCULINO,2001-02-23,Spain,Athletics,Men's Triple Jump
PICHARDO Pedro,PRATA,2024-08-09,MASCULINO,1993-06-30,Portugal,Athletics,Men's Triple Jump
DIAZ HERNANDEZ Andy,BRONZE,2024-08-09,MASCULINO,1995-12-25,Italy,Athletics,Men's Triple Jump
CHEBET Beatrice,OURO,2024-08-09,FEMININO,2000-03-05,Kenya,Athletics,Women's 10.000m
BATTOCLETTI Nadia,PRATA,2024-08-09,FEMININO,2000-04-12,Italy,Athletics,Women's 10.000m
HASSAN Sifan,BRONZE,2024-08-09,FEMININO,1993-01-01,Netherlands,Athletics,Women's 10.000m
PAULINO Marileidy,OURO,2024-08-09,FEMININO,1996-10-25,Dominican Republic,Athletics,Women's 400m
NASER Salwa Eid,PRATA,2024-08-09,FEMININO,1998-05-23,Bahrain,Athletics,Women's 400m
KACZMAREK Natalia,BRONZE,2024-08-09,FEMININO,1998-01-17,Poland,Athletics,Women's 400m
OGUNLEYE Yemisi,OURO,2024-08-09,FEMININO,1998-10-03,Germany,Athletics,Women's Shot Put
WESCHE Maddison-Lee,PRATA,2024-08-09,FEMININO,1999-06-13,New Zealand,Athletics,Women's Shot Put
SONG Jiayuan,BRONZE,2024-08-09,FEMININO,1997-09-15,China,Athletics,Women's Shot Put
MUYDINKHUJAEV Asadkhuja,OURO,2024-08-09,MASCULINO,2001-05-08,Uzbekistan,Boxing,Men's 71kg
VERDE ALVAREZ Marco Alonso,PRATA,2024-08-09,MASCULINO,2002-02-11,Mexico,Boxing,Men's 71kg
MULLOJONOV Lazizbek,OURO,2024-08-09,MASCULINO,1999-05-13,Uzbekistan,Boxing,Men's 92kg
ALFONSO DOMINGUEZ Loren Berto,PRATA,2024-08-09,MASCULINO,1995-07-28,Azerbaijan,Boxing,Men's 92kg
WU Yu,OURO,2024-08-09,FEMININO,1995-01-13,China,Boxing,Women's 50kg
CAKIROGLU Buse Naz,PRATA,2024-08-09,FEMININO,1996-05-26,Turkiye,Boxing,Women's 50kg
KHELIF Imane,OURO,2024-08-09,FEMININO,1999-05-02,Algeria,Boxing,Women's 66kg
YANG Liu,PRATA,2024-08-09,FEMININO,1992-05-20,China,Boxing,Women's 66kg
AMI,OURO,2024-08-09,FEMININO,1998-12-11,Japan,Breaking,B-Girls
NICKA,PRATA,2024-08-09,FEMININO,2007-06-08,Lithuania,Breaking,B-Girls
671,BRONZE,2024-08-09,FEMININO,2005-10-19,China,Breaking,B-Girls
FUKSA Martin,OURO,2024-08-09,MASCULINO,1993-04-30,Czechia,Canoe Sprint,Men's Canoe Single 1000m
QUEIROZ Isaquias,PRATA,2024-08-09,MASCULINO,1994-01-03,Brazil,Canoe Sprint,Men's Canoe Single 1000m
TARNOVSCHI Serghei,BRONZE,2024-08-09,MASCULINO,1997-06-24,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m
LAVREYSEN Harrie,OURO,2024-08-09,MASCULINO,1997-03-14,Netherlands,Cycling Track,Men's Sprint
RICHARDSON Matthew,PRATA,2024-08-09,MASCULINO,1999-04-17,Australia,Cycling Track,Men's Sprint
CARLIN Jack,BRONZE,2024-08-09,MASCULINO,1997-04-23,Great Britain,Cycling Track,Men's Sprint
CHEN Yiwen,OURO,2024-08-09,FEMININO,1999-06-15,China,Diving,Women's 3m Springboard
KEENEY Maddison,PRATA,2024-08-09,FEMININO,1996-05-23,Australia,Diving,Women's 3m Springboard
CHANG Yani,BRONZE,2024-08-09,FEMININO,2001-12-07,China,Diving,Women's 3m Springboard
RASOVSZKY Kristof,OURO,2024-08-09,MASCULINO,1997-03-27,Hungary,Marathon Swimming,Men's 10km
KLEMET Oliver,PRATA,2024-08-09,MASCULINO,2002-03-18,Germany,Marathon Swimming,Men's 10km
BETLEHEM David,BRONZE,2024-08-09,MASCULINO,2003-09-04,Hungary,Marathon Swimming,Men's 10km
BONTUS Valentin,OURO,2024-08-09,MASCULINO,2001-02-01,Austria,Sailing,Men's Kite
VODISEK Toni,PRATA,2024-08-09,MASCULINO,2000-06-07,Slovenia,Sailing,Men's Kite
MAEDER Maximilian,BRONZE,2024-08-09,MASCULINO,2006-09-12,Singapore,Sailing,Men's Kite
ROBERTS Toby,OURO,2024-08-09,MASCULINO,2005-03-15,Great Britain,Sport Climbing,Men's Boulder & Lead
ANRAKU Sorato,PRATA,2024-08-09,MASCULINO,2006-11-14,Japan,Sport Climbing,Men's Boulder & Lead
SCHUBERT Jakob,BRONZE,2024-08-09,MASCULINO,1990-12-31,Austria,Sport Climbing,Men's Boulder & Lead
KATOUSSI Firas,OURO,2024-08-09,MASCULINO,1995-09-06,Tunisia,Taekwondo,Men -80kg
BARKHORDARI Mehran,PRATA,2024-08-09,MASCULINO,2000-07-26,IR Iran,Taekwondo,Men -80kg
ALESSIO Simone,BRONZE,2024-08-09,MASCULINO,2000-04-14,Italy,Taekwondo,Men -80kg
HRNIC Edi,BRONZE,2024-08-09,MASCULINO,2003-12-26,Denmark,Taekwondo,Men -80kg
MARTON Viviana,OURO,2024-08-09,FEMININO,2006-02-16,Hungary,Taekwondo,Women -67kg
PERISIC Aleksandra,PRATA,2024-08-09,FEMININO,2002-07-02,Serbia,Taekwondo,Women -67kg
TEACHOUT Kristina,BRONZE,2024-08-09,FEMININO,2005-09-13,United States,Taekwondo,Women -67kg
CHAARI Sarah,BRONZE,2024-08-09,FEMININO,2005-05-02,Belgium,Taekwondo,Women -67kg
NASAR Karlos May,OURO,2024-08-09,MASCULINO,2004-05-12,Bulgaria,Weightlifting,Men's 89kg
LOPEZ Yeison,PRATA,2024-08-09,MASCULINO,1999-09-01,Colombia,Weightlifting,Men's 89kg
PIZZOLATO Antonino,BRONZE,2024-08-09,MASCULINO,1996-08-20,Italy,Weightlifting,Men's 89kg
REEVES Olivia,OURO,2024-08-09,FEMININO,2003-04-19,United States,Weightlifting,Women's 71kg
SANCHEZ Mari Leivis,PRATA,2024-08-09,FEMININO,1991-10-08,Colombia,Weightlifting,Women's 71kg
PALACIOS DAJOMES Angie Paola,BRONZE,2024-08-09,FEMININO,2000-09-12,Ecuador,Weightlifting,Women's 71kg
HIGUCHI Rei,OURO,2024-08-09,MASCULINO,1996-01-28,Japan,Wrestling,Men's Freestyle 57kg
LEE Spencer Richard,PRATA,2024-08-09,MASCULINO,1998-10-14,United States,Wrestling,Men's Freestyle 57kg
AMAN Aman,BRONZE,2024-08-09,MASCULINO,2003-07-16,India,Wrestling,Men's Freestyle 57kg
ABDULLAEV Gulomjon,BRONZE,2024-08-09,MASCULINO,1998-11-11,Uzbekistan,Wrestling,Men's Freestyle 57kg
RAMAZANOV Magomed Eldarovitch,OURO,2024-08-09,MASCULINO,1993-05-22,Bulgaria,Wrestling,Men's Freestyle 86kg
YAZDANICHARATI Hassan,PRATA,2024-08-09,MASCULINO,1994-12-26,IR Iran,Wrestling,Men's Freestyle 86kg
BROOKS Aaron Marquel,BRONZE,2024-08-09,MASCULINO,2000-06-15,United States,Wrestling,Men's Freestyle 86kg
KURUGLIEV Dauren,BRONZE,2024-08-09,MASCULINO,1992-07-12,Greece,Wrestling,Men's Freestyle 86kg
SAKURAI Tsugumi,OURO,2024-08-09,FEMININO,2001-09-03,Japan,Wrestling,Women's Freestyle 57kg
NICHITA Anastasia,PRATA,2024-08-09,FEMININO,1999-02-19,Republic of Moldova,Wrestling,Women's Freestyle 57kg
MAROULIS Helen Louise,BRONZE,2024-08-09,FEMININO,1991-09-19,United States,Wrestling,Women's Freestyle 57kg
HONG Kexin,BRONZE,2024-08-09,FEMININO,2003-01-06,China,Wrestling,Women's Freestyle 57kg
INGEBRIGTSEN Jakob,OURO,2024-08-10,MASCULINO,2000-09-19,Norway,Athletics,Men's 5000m
KWEMOI Ronald,PRATA,2024-08-10,MASCULINO,1995-09-19,Kenya,Athletics,Men's 5000m
FISHER Grant,BRONZE,2024-08-10,MASCULINO,1997-04-22,United States,Athletics,Men's 5000m
WANYONYI Emmanuel,OURO,2024-08-10,MASCULINO,2004-08-01,Kenya,Athletics,Men's 800m
AROP Marco,PRATA,2024-08-10,MASCULINO,1998-09-20,Canada,Athletics,Men's 800m
SEDJATI Djamel,BRONZE,2024-08-10,MASCULINO,1999-05-03,Algeria,Athletics,Men's 800m
KERR Hamish,OURO,2024-08-10,MASCULINO,1996-08-17,New Zealand,Athletics,Men's High Jump
McEWEN Shelby,PRATA,2024-08-10,MASCULINO,1996-04-06,United States,Athletics,Men's High Jump
BARSHIM Mutaz Essa,BRONZE,2024-08-10,MASCULINO,1991-06-24,Qatar,Athletics,Men's High Jump
TOLA Tamirat,OURO,2024-08-10,MASCULINO,1991-08-11,Ethiopia,Athletics,Men's Marathon
ABDI Bashir,PRATA,2024-08-10,MASCULINO,1989-02-10,Belgium,Athletics,Men's Marathon
KIPRUTO Benson,BRONZE,2024-08-10,MASCULINO,1991-03-17,Kenya,Athletics,Men's Marathon
RUSSELL Masai,OURO,2024-08-10,FEMININO,2000-06-17,United States,Athletics,Women's 100m Hurdles
SAMBA-MAYELA Cyrena,PRATA,2024-08-10,FEMININO,2000-10-31,France,Athletics,Women's 100m Hurdles
CAMACHO-QUINN Jasmine,BRONZE,2024-08-10,FEMININO,1996-08-21,Puerto Rico,Athletics,Women's 100m Hurdles
KIPYEGON Faith,OURO,2024-08-10,FEMININO,1994-01-10,Kenya,Athletics,Women's 1500m
HULL Jessica,PRATA,2024-08-10,FEMININO,1996-10-22,Australia,Athletics,Women's 1500m
BELL Georgia,BRONZE,2024-08-10,FEMININO,1993-10-17,Great Britain,Athletics,Women's 1500m
KITAGUCHI Haruka,OURO,2024-08-10,FEMININO,1998-03-16,Japan,Athletics,Women's Javelin Throw
van DYK Jo-Ane,PRATA,2024-08-10,FEMININO,1997-10-03,South Africa,Athletics,Women's Javelin Throw
OGRODNIKOVA Nikola,BRONZE,2024-08-10,FEMININO,1990-08-18,Czechia,Athletics,Women's Javelin Throw
JALOLOV Bakhodir,OURO,2024-08-10,MASCULINO,1994-07-08,Uzbekistan,Boxing,Men's +92kg
GHADFA DRISSI EL AISSAOUI Ayoub,PRATA,2024-08-10,MASCULINO,1998-12-06,Spain,Boxing,Men's +92kg
KHALOKOV Abdumalik,OURO,2024-08-10,MASCULINO,2000-04-09,Uzbekistan,Boxing,Men's 57kg
SEIITBEK UULU Munarbek,PRATA,2024-08-10,MASCULINO,1996-01-01,Kyrgyzstan,Boxing,Men's 57kg
LIN Yu Ting,OURO,2024-08-10,FEMININO,1995-12-13,Chinese Taipei,Boxing,Women's 57kg
SZEREMETA Julia,PRATA,2024-08-10,FEMININO,2003-08-24,Poland,Boxing,Women's 57kg
LI Qian,OURO,2024-08-10,FEMININO,1990-06-06,China,Boxing,Women's 75kg
BYLON Atheyna Bibeichi,PRATA,2024-08-10,FEMININO,1989-04-06,Panama,Boxing,Women's 75kg
PHIL WIZARD,OURO,2024-08-10,MASCULINO,1997-01-25,Canada,Breaking,B-Boys
DANY DANN,PRATA,2024-08-10,MASCULINO,1988-05-03,France,Breaking,B-Boys
VICTOR,BRONZE,2024-08-10,MASCULINO,1994-05-01,United States,Breaking,B-Boys
DOSTAL Josef,OURO,2024-08-10,MASCULINO,1993-03-03,Czechia,Canoe Sprint,Men's Kayak Single 1000m
VARGA Adam,PRATA,2024-08-10,MASCULINO,1999-11-20,Hungary,Canoe Sprint,Men's Kayak Single 1000m
KOPASZ Balint,BRONZE,2024-08-10,MASCULINO,1997-06-20,Hungary,Canoe Sprint,Men's Kayak Single 1000m
VINCENT Katie,OURO,2024-08-10,FEMININO,1996-03-12,Canada,Canoe Sprint,Women's Canoe Single 200m
HARRISON Nevin,PRATA,2024-08-10,FEMININO,2002-06-02,United States,Canoe Sprint,Women's Canoe Single 200m
CIRILO DUBOYS Yarisleidis,BRONZE,2024-08-10,FEMININO,2002-05-10,Cuba,Canoe Sprint,Women's Canoe Single 200m
CARRINGTON Lisa,OURO,2024-08-10,FEMININO,1989-06-23,New Zealand,Canoe Sprint,Women's Kayak Single 500m
CSIPES Tamara,PRATA,2024-08-10,FEMININO,1989-08-24,Hungary,Canoe Sprint,Women's Kayak Single 500m
JORGENSEN Emma Aastrand,BRONZE,2024-08-10,FEMININO,1996-01-30,Denmark,Canoe Sprint,Women's Kayak Single 500m
CAO Yuan,OURO,2024-08-10,MASCULINO,1995-02-07,China,Diving,Men's 10m Platform
TAMAI Rikuto,PRATA,2024-08-10,MASCULINO,2006-09-11,Japan,Diving,Men's 10m Platform
WILLIAMS Noah,BRONZE,2024-08-10,MASCULINO,2000-05-15,Great Britain,Diving,Men's 10m Platform
KO Lydia,OURO,2024-08-10,FEMININO,1997-04-24,New Zealand,Golf,Women's Individual Stroke Play
HENSELEIT Esther,PRATA,2024-08-10,FEMININO,1999-01-14,Germany,Golf,Women's Individual Stroke Play
LIN Xiyu Janet,BRONZE,2024-08-10,FEMININO,1996-02-25,China,Golf,Women's Individual Stroke Play
ELGENDY Ahmed,OURO,2024-08-10,MASCULINO,2000-03-01,Egypt,Modern Pentathlon,Men's Individual
SATO Taishu,PRATA,2024-08-10,MASCULINO,1993-10-20,Japan,Modern Pentathlon,Men's Individual
MALAN Giorgio,BRONZE,2024-08-10,MASCULINO,2000-01-27,Italy,Modern Pentathlon,Men's Individual
GARNBRET Janja,OURO,2024-08-10,FEMININO,1999-03-12,Slovenia,Sport Climbing,Women's Boulder & Lead
RABOUTOU Brooke,PRATA,2024-08-10,FEMININO,2001-04-09,United States,Sport Climbing,Women's Boulder & Lead
PILZ Jessica,BRONZE,2024-08-10,FEMININO,1996-11-22,Austria,Sport Climbing,Women's Boulder & Lead
SALIMI Arian,OURO,2024-08-10,MASCULINO,2003-12-16,IR Iran,Taekwondo,Men +80kg
CUNNINGHAM Caden,PRATA,2024-08-10,MASCULINO,2003-05-07,Great Britain,Taekwondo,Men +80kg
ALBA Rafael,BRONZE,2024-08-10,MASCULINO,1993-08-12,Cuba,Taekwondo,Men +80kg
CISSE Cheick Sallah,BRONZE,2024-08-10,MASCULINO,1993-09-19,Cote d'Ivoire,Taekwondo,Men +80kg
LAURIN Althea,OURO,2024-08-10,FEMININO,2001-09-01,France,Taekwondo,Women +67kg
OSIPOVA Svetlana,PRATA,2024-08-10,FEMININO,2000-05-03,Uzbekistan,Taekwondo,Women +67kg
LEE Dabin,BRONZE,2024-08-10,FEMININO,1996-12-07,Korea,Taekwondo,Women +67kg
KUS AYDIN Nafia,BRONZE,2024-08-10,FEMININO,1995-02-20,Turkiye,Taekwondo,Women +67kg
TALAKHADZE Lasha,OURO,2024-08-10,MASCULINO,1993-10-02,Georgia,Weightlifting,Men's +102kg
LALAYAN Varazdat,PRATA,2024-08-10,MASCULINO,1999-05-01,Armenia,Weightlifting,Men's +102kg
MINASYAN Gor,BRONZE,2024-08-10,MASCULINO,1994-10-25,Bahrain,Weightlifting,Men's +102kg
LIU Huanhua,OURO,2024-08-10,MASCULINO,2001-08-20,China,Weightlifting,Men's 102kg
DJURAEV Akbar,PRATA,2024-08-10,MASCULINO,1999-10-08,Uzbekistan,Weightlifting,Men's 102kg
TSIKHANTSOU Yauheni,BRONZE,2024-08-10,MASCULINO,1998-11-04,AIN,Weightlifting,Men's 102kg
KOANDA Solfrid Eila Amena,OURO,2024-08-10,FEMININO,1998-11-13,Norway,Weightlifting,Women's 81kg
AHMED Sara,PRATA,2024-08-10,FEMININO,1998-01-01,Egypt,Weightlifting,Women's 81kg
DAJOMES BARRERA Neisi Patricia,BRONZE,2024-08-10,FEMININO,1998-05-12,Ecuador,Weightlifting,Women's 81kg
PETRIASHVILI Geno,OURO,2024-08-10,MASCULINO,1994-04-01,Georgia,Wrestling,Men's Freestyle 125kg
ZARE Amir Hossein,PRATA,2024-08-10,MASCULINO,2001-01-16,IR Iran,Wrestling,Men's Freestyle 125kg
AKGUL Taha,BRONZE,2024-08-10,MASCULINO,1990-11-22,Turkiye,Wrestling,Men's Freestyle 125kg
MESHVILDISHVILI Giorgi,BRONZE,2024-08-10,MASCULINO,1992-05-13,Azerbaijan,Wrestling,Men's Freestyle 125kg
JAMALOV Razambek Salambekovitch,OURO,2024-08-10,MASCULINO,1998-06-01,Uzbekistan,Wrestling,Men's Freestyle 74kg
TAKATANI Daichi,PRATA,2024-08-10,MASCULINO,1994-11-22,Japan,Wrestling,Men's Freestyle 74kg
DAKE Kyle Douglas,BRONZE,2024-08-10,MASCULINO,1991-02-25,United States,Wrestling,Men's Freestyle 74kg
VALIEV Chermen,BRONZE,2024-08-10,MASCULINO,1998-12-10,Albania,Wrestling,Men's Freestyle 74kg
MOTOKI Sakura,OURO,2024-08-10,FEMININO,2002-02-20,Japan,Wrestling,Women's Freestyle 62kg
KOLIADENKO Iryna,PRATA,2024-08-10,FEMININO,1998-08-28,Ukraine,Wrestling,Women's Freestyle 62kg
TYNYBEKOVA Aisuluu,BRONZE,2024-08-10,FEMININO,1993-05-04,Kyrgyzstan,Wrestling,Women's Freestyle 62kg
BULLEN Grace Jacob,BRONZE,2024-08-10,FEMININO,1997-02-07,Norway,Wrestling,Women's Freestyle 62kg
HASSAN Sifan,OURO,2024-08-11,FEMININO,1993-01-01,Netherlands,Athletics,Women's Marathon
ASSEFA Tigst,PRATA,2024-08-11,FEMININO,1996-12-03,Ethiopia,Athletics,Women's Marathon
OBIRI Hellen,BRONZE,2024-08-11,FEMININO,1989-12-13,Kenya,Athletics,Women's Marathon
LAVREYSEN Harrie,OURO,2024-08-11,MASCULINO,1997-03-14,Netherlands,Cycling Track,Men's Keirin
RICHARDSON Matthew,PRATA,2024-08-11,MASCULINO,1999-04-17,Australia,Cycling Track,Men's Keirin
GLAETZER Matthew,BRONZE,2024-08-11,MASCULINO,1992-08-24,Australia,Cycling Track,Men's Keirin
VALENTE Jennifer,OURO,2024-08-11,FEMININO,1994-12-24,United States,Cycling Track,Women's Omnium
PIKULIK Daria,PRATA,2024-08-11,FEMININO,1997-01-06,Poland,Cycling Track,Women's Omnium
WOLLASTON Ally,BRONZE,2024-08-11,FEMININO,2001-01-04,New Zealand,Cycling Track,Women's Omnium
ANDREWS Ellesse,OURO,2024-08-11,FEMININO,1999-12-31,New Zealand,Cycling Track,Women's Sprint
FRIEDRICH Lea,PRATA,2024-08-11,FEMININO,2000-01-07,Germany,Cycling Track,Women's Sprint
FINUCANE Emma,BRONZE,2024-08-11,FEMININO,2002-12-22,Great Britain,Cycling Track,Women's Sprint
GULYAS Michelle,OURO,2024-08-11,FEMININO,2000-10-24,Hungary,Modern Pentathlon,Women's Individual
CLOUVEL Elodie,PRATA,2024-08-11,FEMININO,1989-01-14,France,Modern Pentathlon,Women's Individual
SEONG Seungmin,BRONZE,2024-08-11,FEMININO,2003-05-13,Korea,Modern Pentathlon,Women's Individual
LI Wenwen,OURO,2024-08-11,FEMININO,2000-03-05,China,Weightlifting,Women's +81kg
PARK Hyejeong,PRATA,2024-08-11,FEMININO,2003-03-12,Korea,Weightlifting,Women's +81kg
CAMPBELL Emily,BRONZE,2024-08-11,FEMININO,1994-05-06,Great Britain,Weightlifting,Women's +81kg
KIYOOKA Kotaro,OURO,2024-08-11,MASCULINO,2001-04-12,Japan,Wrestling,Men's Freestyle 65kg
AMOUZADKHALILI Rahman,PRATA,2024-08-11,MASCULINO,2002-07-17,IR Iran,Wrestling,Men's Freestyle 65kg
RIVERA Sebastian C,BRONZE,2024-08-11,MASCULINO,1998-08-27,Puerto Rico,Wrestling,Men's Freestyle 65kg
DUDAEV Islam,BRONZE,2024-08-11,MASCULINO,1995-01-15,Albania,Wrestling,Men's Freestyle 65kg
TAZHUDINOV Akhmed,OURO,2024-08-11,MASCULINO,2003-01-25,Bahrain,Wrestling,Men's Freestyle 97kg
MATCHARASHVILI Givi,PRATA,2024-08-11,MASCULINO,1997-05-17,Georgia,Wrestling,Men's Freestyle 97kg
MAGOMEDOV Magomedkhan,BRONZE,2024-08-11,MASCULINO,1998-01-27,Azerbaijan,Wrestling,Men's Freestyle 97kg
AZARPIRA Amirali,BRONZE,2024-08-11,MASCULINO,2002-03-26,IR Iran,Wrestling,Men's Freestyle 97kg
KAGAMI Yuka,OURO,2024-08-11,FEMININO,2001-09-14,Japan,Wrestling,Women's Freestyle 76kg
BLADES Kennedy Alexis,PRATA,2024-08-11,FEMININO,2003-09-04,United States,Wrestling,Women's Freestyle 76kg
MARIN POTRILLE Milaimy de la Carid,BRONZE,2024-08-11,FEMININO,2001-03-16,Cuba,Wrestling,Women's Freestyle 76kg
RENTERIA RENTERIA Tatiana,BRONZE,2024-08-11,FEMININO,2000-12-22,Colombia,Wrestling,Women's Freestyle 76kg
VARFOLOMEEV Darja,OURO,2024-08-09,FEMININO,2006-11-04,Germany,Rhythmic Gymnastics,Individual All-Around
KALEYN Boryana,PRATA,2024-08-09,FEMININO,2000-08-23,Bulgaria,Rhythmic Gymnastics,Individual All-Around
RAFFAELI Sofia,BRONZE,2024-08-09,FEMININO,2004-01-19,Italy,Rhythmic Gymnastics,Individual All-Around
THIAM Nafissatou,OURO,2024-08-09,FEMININO,1994-08-19,Belgium,Athletics,Women's Heptathlon
JOHNSON-THOMPSON Katarina,PRATA,2024-08-09,FEMININO,1993-01-09,Great Britain,Athletics,Women's Heptathlon
VIDTS Noor,BRONZE,2024-08-09,FEMININO,1996-05-30,Belgium,Athletics,Women's Heptathlon
CHANG Yani,OURO,2024-07-27,FEMININO,2001-12-07,China,Diving,Women's Synchronised 3m Springboard
CHEN Yiwen,OURO,2024-07-27,FEMININO,1999-06-15,China,Diving,Women's Synchronised 3m Springboard
BACON Sarah,PRATA,2024-07-27,FEMININO,1996-09-20,United States,Diving,Women's Synchronised 3m Springboard
COOK Kassidy,PRATA,2024-07-27,FEMININO,1995-05-09,United States,Diving,Women's Synchronised 3m Springboard
HARPER Yasmin,BRONZE,2024-07-27,FEMININO,2000-07-28,Great Britain,Diving,Women's Synchronised 3m Springboard
MEW JENSEN Scarlett,BRONZE,2024-07-27,FEMININO,2001-12-31,Great Britain,Diving,Women's Synchronised 3m Springboard
PASQUET Varian,OURO,2024-07-27,MASCULINO,1999-07-29,France,Rugby Sevens,Men
TIMO Andy,OURO,2024-07-27,MASCULINO,2004-05-28,France,Rugby Sevens,Men
REBBADJ Rayan,OURO,2024-07-27,MASCULINO,1999-08-15,France,Rugby Sevens,Men
FORNER Theo,OURO,2024-07-27,MASCULINO,2001-10-17,France,Rugby Sevens,Men
PAREZ EDO MARTIN Stephen,OURO,2024-07-27,MASCULINO,1994-08-01,France,Rugby Sevens,Men
RIVA Paulin,OURO,2024-07-27,MASCULINO,1994-04-20,France,Rugby Sevens,Men
JOSEPH Jefferson-Lee,OURO,2024-07-27,MASCULINO,2002-08-29,France,Rugby Sevens,Men
ZEGHDAR Antoine,OURO,2024-07-27,MASCULINO,1999-05-22,France,Rugby Sevens,Men
GRANDIDIER NKANANG Aaron,OURO,2024-07-27,MASCULINO,2000-05-18,France,Rugby Sevens,Men
BARRAQUE Jean Pascal,OURO,2024-07-27,MASCULINO,1991-04-24,France,Rugby Sevens,Men
DUPONT Antoine,OURO,2024-07-27,MASCULINO,1996-11-15,France,Rugby Sevens,Men
SEPHO Jordan,OURO,2024-07-27,MASCULINO,1998-12-08,France,Rugby Sevens,Men
EPEE Nelson,OURO,2024-07-27,MASCULINO,2001-02-20,France,Rugby Sevens,Men
NASOVA Joji,PRATA,2024-07-27,MASCULINO,2000-06-09,Fiji,Rugby Sevens,Men
TALACOLO Joseva,PRATA,2024-07-27,MASCULINO,1997-04-01,Fiji,Rugby Sevens,Men
MATANA Jeremaia,PRATA,2024-07-27,MASCULINO,1998-07-14,Fiji,Rugby Sevens,Men
MOCENACAGI Sevuloni,PRATA,2024-07-27,MASCULINO,1990-06-29,Fiji,Rugby Sevens,Men
BALEIWAIRIKI Iosefo,PRATA,2024-07-27,MASCULINO,1998-05-09,Fiji,Rugby Sevens,Men
LOGANIMASI Ponipate,PRATA,2024-07-27,MASCULINO,1998-03-26,Fiji,Rugby Sevens,Men
VEILAWA Terio Tamani,PRATA,2024-07-27,MASCULINO,1994-07-06,Fiji,Rugby Sevens,Men
NACUQU Waisea,PRATA,2024-07-27,MASCULINO,1993-05-24,Fiji,Rugby Sevens,Men
TUWAI Jerry,PRATA,2024-07-27,MASCULINO,1989-03-23,Fiji,Rugby Sevens,Men
TEBA Iowane,PRATA,2024-07-27,MASCULINO,1993-02-23,Fiji,Rugby Sevens,Men
RASAKU Kaminieli,PRATA,2024-07-27,MASCULINO,1999-07-12,Fiji,Rugby Sevens,Men
RAVUTAUMADA Selesitino,PRATA,2024-07-27,MASCULINO,2000-01-17,Fiji,Rugby Sevens,Men
JOSAIA Raisuqe,PRATA,2024-07-27,MASCULINO,1994-07-22,Fiji,Rugby Sevens,Men
SAUTURAGA Filipe,PRATA,2024-07-27,MASCULINO,1994-06-19,Fiji,Rugby Sevens,Men
GROBBELAAR Christie,BRONZE,2024-07-27,MASCULINO,2000-05-25,South Africa,Rugby Sevens,Men
OOSTHUIZEN Ryan,BRONZE,2024-07-27,MASCULINO,1995-05-22,South Africa,Rugby Sevens,Men
VISSER Impi,BRONZE,2024-07-27,MASCULINO,1995-05-30,South Africa,Rugby Sevens,Men
DAVIDS Zain,BRONZE,2024-07-27,MASCULINO,1997-05-04,South Africa,Rugby Sevens,Men
NORTJE Quewin,BRONZE,2024-07-27,MASCULINO,2003-01-14,South Africa,Rugby Sevens,Men
PRETORIUS Tiaan,BRONZE,2024-07-27,MASCULINO,2001-02-19,South Africa,Rugby Sevens,Men
LEYDS Tristan,BRONZE,2024-07-27,MASCULINO,1997-05-24,South Africa,Rugby Sevens,Men
DAVIDS Selvyn,BRONZE,2024-07-27,MASCULINO,1994-03-26,South Africa,Rugby Sevens,Men
WILLIAMS Shaun,BRONZE,2024-07-27,MASCULINO,1998-04-13,South Africa,Rugby Sevens,Men
SPECMAN Rosko,BRONZE,2024-07-27,MASCULINO,1989-04-28,South Africa,Rugby Sevens,Men
SOYIZWAPI Siviwe,BRONZE,2024-07-27,MASCULINO,1992-12-07,South Africa,Rugby Sevens,Men
van WYK Shilton,BRONZE,2024-07-27,MASCULINO,1999-12-22,South Africa,Rugby Sevens,Men
BROWN Ronald,BRONZE,2024-07-27,MASCULINO,1995-09-02,South Africa,Rugby Sevens,Men
HUANG Yuting,OURO,2024-07-27,FEMININO,2006-09-03,China,Shooting,10m Air Rifle Mixed Team
